,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1512929331756081156,2022-04-09 23:03:56+00:00,False,Catch our Town Hall Talk on Twitter Spaces with @amresheth from @PGodjira tomorrow at 6:30 PM EST! https://t.co/QDLM6JXrHK,56,15,161,0,{'media_keys': ['3_1512928809154138114']},"{'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/QDLM6JXrHK', 'expanded_url': 'https://twitter.com/ailoverse/status/1512929331756081156/photo/1', 'display_url': 'pic.twitter.com/QDLM6JXrHK'}], 'mentions': [{'start': 48, 'end': 58, 'username': 'amresheth', 'id': '2199824725'}, {'start': 64, 'end': 73, 'username': 'PGodjira', 'id': '1454728913964445704'}], 'annotations': [{'start': 28, 'end': 34, 'probability': 0.3933, 'type': 'Organization', 'normalized_text': 'Twitter'}]}"
1,1512841010954522628,2022-04-09 17:12:58+00:00,False,"RT @GodJiraslove: 🎉WL GIVEAWAY🎉

We are giving away 5 Ailoverse WL spots!
 
1️⃣ Follow @ailoverse &amp; @PGodjira 
2️⃣ Retweet &amp; Tag 2 friends…",2013,0,0,0,,"{'mentions': [{'start': 3, 'end': 16, 'username': 'GodJiraslove', 'id': '1496074912091443200'}, {'start': 87, 'end': 97, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 104, 'end': 113, 'username': 'PGodjira', 'id': '1454728913964445704'}]}"
2,1512837687794880519,2022-04-09 16:59:46+00:00,False,"2 Days until mint date! We are excited!

🤖 MUCH WOW, MUCH MEOW! 😺 https://t.co/cwM3Muw4v6",112,41,286,5,{'media_keys': ['3_1512837474007007235']},"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/cwM3Muw4v6', 'expanded_url': 'https://twitter.com/ailoverse/status/1512837687794880519/photo/1', 'display_url': 'pic.twitter.com/cwM3Muw4v6'}]}"
3,1512792767910617088,2022-04-09 14:01:16+00:00,False,"EXACT MINT TIME SLOTS: 🚀

WL SALE: 04/11 - 10AM - 10PM EST
PUBLIC SALE: 04/11 - 10PM - 4 AM EST

Remember, WAGMI! 😻 🤖",56,20,171,1,,
4,1512158753398964236,2022-04-07 20:01:56+00:00,True,"@otsinc15 Winners 🏆
• @djjaytay
• @Tiffanywakeup
• @96incognito69
• @econbizer

Enter our discord and send us your Discord IDs via DM.

✔️ https://t.co/FdLuVNkFxi",1,0,37,0,,"{'urls': [{'start': 139, 'end': 162, 'url': 'https://t.co/FdLuVNkFxi', 'expanded_url': 'https://twitterpicker.com/d/vf2k2shy', 'display_url': 'twitterpicker.com/d/vf2k2shy'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'otsinc15', 'id': '946366444949864448'}, {'start': 22, 'end': 31, 'username': 'djjaytay', 'id': '23159548'}, {'start': 34, 'end': 48, 'username': 'Tiffanywakeup', 'id': '1476172930359136262'}, {'start': 51, 'end': 65, 'username': '96incognito69', 'id': '4828099227'}, {'start': 68, 'end': 78, 'username': 'econbizer', 'id': '705392416216317952'}]}"
5,1512129697525739529,2022-04-07 18:06:28+00:00,False,"RT @LVCollabs: This project has artists from Disney, Pixar and Dreamworks!🤯

Giving away 5 WL spots for @ailoverse!

To enter:
1⃣Follow @LV…",1263,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'LVCollabs', 'id': '1505691484670070787'}, {'start': 104, 'end': 114, 'username': 'ailoverse', 'id': '1478397674130915329'}], 'annotations': [{'start': 45, 'end': 50, 'probability': 0.623, 'type': 'Organization', 'normalized_text': 'Disney'}, {'start': 53, 'end': 57, 'probability': 0.4494, 'type': 'Organization', 'normalized_text': 'Pixar'}, {'start': 63, 'end': 72, 'probability': 0.3249, 'type': 'Organization', 'normalized_text': 'Dreamworks'}]}"
6,1512116637096452107,2022-04-07 17:14:34+00:00,True,"@NFTFanArt1 @omega_alpha_nft That looks awesome! Enter our discord and send us a DM with your ID, we will whitelist you! ❤️",1,2,3,0,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'NFTFanArt1', 'id': '1496587832667824135'}, {'start': 12, 'end': 28, 'username': 'omega_alpha_nft', 'id': '1463734117875527682'}]}"
7,1512087380332724230,2022-04-07 15:18:19+00:00,False,"RT @CryptoGorillaYT: 🎉 Giving away 5 WL spots for @ailoverse 🎉

To qualify:

- Follow @ailoverse &amp; @TheGorillaLabs 
- Like &amp; RT
- Tag 2 fri…",2065,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'CryptoGorillaYT', 'id': '94261044'}, {'start': 50, 'end': 60, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 86, 'end': 96, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 103, 'end': 118, 'username': 'TheGorillaLabs', 'id': '1511142801769177097'}]}"
8,1512073698211098624,2022-04-07 14:23:57+00:00,False,"🚀 4 days left until mint! Who is excited? 😻

We are giving away 4 WL spots for our mint on monday, how to enter:

✅Follow @ailoverse &amp; @otsinc15
✅RT &amp; ♥️ this post
✅Tag your friends (More tags = More chance) https://t.co/E1urvfKy5d",773,753,884,17,{'media_keys': ['7_1512073414277697538']},"{'urls': [{'start': 216, 'end': 239, 'url': 'https://t.co/E1urvfKy5d', 'expanded_url': 'https://twitter.com/ailoverse/status/1512073698211098624/video/1', 'display_url': 'pic.twitter.com/E1urvfKy5d'}], 'mentions': [{'start': 122, 'end': 132, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 139, 'end': 148, 'username': 'otsinc15', 'id': '946366444949864448'}]}"
9,1511853703405486081,2022-04-06 23:49:46+00:00,False,"RT @chillbearclub: 😼🐻🚀@chillbearclub x @ailoverse WL Giveaway🚀😼🐻

@ailoverse has kindly given us 3 x WL spots for a 24h Giveaway!

To enter…",2478,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'chillbearclub', 'id': '1490868853353500672'}, {'start': 22, 'end': 36, 'username': 'chillbearclub', 'id': '1490868853353500672'}, {'start': 39, 'end': 49, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 66, 'end': 76, 'username': 'ailoverse', 'id': '1478397674130915329'}]}"
10,1511816688114806787,2022-04-06 21:22:41+00:00,False,"Join us for our AMA Session with @theMetaverseHQ 😻

https://t.co/PJ16Zc7jkc",33,7,86,2,,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/PJ16Zc7jkc', 'expanded_url': 'https://twitter.com/i/spaces/1yNxaYmVaZbxj', 'display_url': 'twitter.com/i/spaces/1yNxa…'}], 'mentions': [{'start': 33, 'end': 48, 'username': 'theMetaverseHQ', 'id': '1450655940399730688'}]}"
11,1511427003215491081,2022-04-05 19:34:13+00:00,False,"Catch our AMA session with Ape List! 😻 🐵

https://t.co/oqv6FM27GG",41,11,88,1,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/oqv6FM27GG', 'expanded_url': 'https://twitter.com/i/spaces/1lDGLLkjMBZGm', 'display_url': 'twitter.com/i/spaces/1lDGL…'}], 'annotations': [{'start': 27, 'end': 34, 'probability': 0.3441, 'type': 'Other', 'normalized_text': 'Ape List'}]}"
12,1511418992979853323,2022-04-05 19:02:23+00:00,False,"New website is live! 😻 🤖

https://t.co/zIjvt9t3vC https://t.co/CIrLPOzXzC",85,22,215,10,{'media_keys': ['3_1511418852156096518']},"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/zIjvt9t3vC', 'expanded_url': 'https://www.ailoverse.com', 'display_url': 'ailoverse.com'}, {'start': 50, 'end': 73, 'url': 'https://t.co/CIrLPOzXzC', 'expanded_url': 'https://twitter.com/ailoverse/status/1511418992979853323/photo/1', 'display_url': 'pic.twitter.com/CIrLPOzXzC'}]}"
13,1511334503104622606,2022-04-05 13:26:39+00:00,True,"@cryptoe95412446 Congratulations! You won a Whitelist spot for your Emoji Pack! 🎁

Please DM us your Discord ID.",1,1,1,0,,"{'mentions': [{'start': 0, 'end': 16, 'username': 'cryptoe95412446', 'id': '1496377325050810368'}], 'annotations': [{'start': 44, 'end': 52, 'probability': 0.5046, 'type': 'Product', 'normalized_text': 'Whitelist'}]}"
14,1511334481340284938,2022-04-05 13:26:34+00:00,True,"@ricatossan Congratulations! You won a Whitelist spot for your Emoji Pack! 🎁

Please DM us your Discord ID.",1,1,2,1,,"{'mentions': [{'start': 0, 'end': 11, 'username': 'ricatossan', 'id': '199029270'}], 'annotations': [{'start': 39, 'end': 47, 'probability': 0.5046, 'type': 'Product', 'normalized_text': 'Whitelist'}]}"
15,1511334442056441858,2022-04-05 13:26:24+00:00,True,"@thetammy Congratulations! You won a Whitelist spot for your Emoji Pack! 🎁

Please DM us your Discord ID.",1,1,1,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'thetammy', 'id': '30766813'}], 'annotations': [{'start': 37, 'end': 45, 'probability': 0.5046, 'type': 'Product', 'normalized_text': 'Whitelist'}]}"
16,1511334358749257738,2022-04-05 13:26:05+00:00,True,"@damnjeysiii Congratulations! You won a Whitelist spot for your Emoji Pack! 🎁

Please DM us your Discord ID.",1,1,3,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'damnjeysiii', 'id': '1480810948256739331'}], 'annotations': [{'start': 40, 'end': 48, 'probability': 0.5046, 'type': 'Product', 'normalized_text': 'Whitelist'}]}"
17,1511334203220279301,2022-04-05 13:25:27+00:00,True,"@jckooooo Congratulations! You won the Emoji Contest and are getting a Free Ailoverse Mint! 🎁

Please DM us your Discord ID.",0,0,2,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'jckooooo', 'id': '1417362503776882692'}]}"
18,1511001891681013761,2022-04-04 15:24:58+00:00,False,"RT @NFTrepzy: 😼🚀WL Giveaway🚀😼

@ailoverse has kindly given the Chads 2 x WL spots for a giveaway!

To enter:

✅Follow @NFTrepzy / @ailovers…",1233,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'NFTrepzy', 'id': '1446417155680096267'}, {'start': 31, 'end': 41, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 118, 'end': 127, 'username': 'NFTrepzy', 'id': '1446417155680096267'}]}"
19,1510985243184009225,2022-04-04 14:18:49+00:00,False,"It's official! 

Mint date: April 11th 2022
Mint Price: WL 0.075 ETH / MAIN: 0.095 ETH
Supply: 5,000 https://t.co/NKUjxe4uLY",640,461,1060,33,{'media_keys': ['7_1510983602779181057']},"{'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/NKUjxe4uLY', 'expanded_url': 'https://twitter.com/ailoverse/status/1510985243184009225/video/1', 'display_url': 'pic.twitter.com/NKUjxe4uLY'}]}"
20,1510944764971126785,2022-04-04 11:37:58+00:00,False,"RT @theothersideNFT: TOS x Ailoverse

5 WL Spots up for grabs 
1️⃣ ❤️Like &amp; 🔃RT 
2️⃣ Follow   
@ailoverse @theothersideNFT &amp; @TOS_Moonpods…",2660,0,0,0,,"{'mentions': [{'start': 3, 'end': 19, 'username': 'theothersideNFT', 'id': '1479679632836214784'}, {'start': 99, 'end': 109, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 110, 'end': 126, 'username': 'theothersideNFT', 'id': '1479679632836214784'}, {'start': 133, 'end': 146, 'username': 'TOS_Moonpods', 'id': '1494150006198046723'}]}"
21,1510349307521679364,2022-04-02 20:11:50+00:00,False,"RT @ryandcrypto: 🎉 @ailoverse WHITELIST SPOTS GIVEAWAY! 🎉

To enter:
- Follow @ryandcrypto &amp; @ailoverse 
- Like + RT
- Tag a friend!

Givea…",2676,0,0,0,,"{'mentions': [{'start': 3, 'end': 15, 'username': 'ryandcrypto', 'id': '1321502344660439040'}, {'start': 19, 'end': 29, 'username': 'ailoverse', 'id': '1478397674130915329'}, {'start': 78, 'end': 90, 'username': 'ryandcrypto', 'id': '1321502344660439040'}, {'start': 97, 'end': 107, 'username': 'ailoverse', 'id': '1478397674130915329'}]}"
22,1509662148376637452,2022-03-31 22:41:18+00:00,True,@NFTLlama @AlphaSharksNFT Thanks for your kind words!,3,0,23,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'NFTLlama', 'id': '1175086049195909121'}, {'start': 10, 'end': 25, 'username': 'AlphaSharksNFT', 'id': '1490941858679189505'}]}"
23,1509662075034947587,2022-03-31 22:41:01+00:00,False,"RT @NFTLlama: @AlphaSharksNFT @ailoverse Honestly so hyped for their Modular NFT 2.0 Mechanics.... like legit super unique to the space.

T…",23,0,0,0,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'NFTLlama', 'id': '1175086049195909121'}, {'start': 14, 'end': 29, 'username': 'AlphaSharksNFT', 'id': '1490941858679189505'}, {'start': 30, 'end': 40, 'username': 'ailoverse', 'id': '1478397674130915329'}], 'annotations': [{'start': 69, 'end': 81, 'probability': 0.6723, 'type': 'Product', 'normalized_text': 'Modular NFT 2'}]}"
24,1509660087610138629,2022-03-31 22:33:07+00:00,False,"RT @AlphaSharksNFT: 🦈 The sharks are absolutely excited for AILOVERSE!
🏆Giving away 5 WL spots for @ailoverse !

To enter:
1⃣Follow @AlphaS…",919,0,0,0,,"{'mentions': [{'start': 3, 'end': 18, 'username': 'AlphaSharksNFT', 'id': '1490941858679189505'}, {'start': 99, 'end': 109, 'username': 'ailoverse', 'id': '1478397674130915329'}]}"
25,1509245134373851136,2022-03-30 19:04:15+00:00,True,Post your finished works as comments to this tweet. 😸,12,8,42,0,,
26,1509244778793390081,2022-03-30 19:02:50+00:00,False,"😻 Emoji Contest! Win a Free Ailoverse NFT! 🎁

Use the template below to create or assemble the perfect Ailoverse Emoji Pack for our Discord Server! 😺

The winner will receive a FREE Ailoverse Mint, the runner-ups will receive Whitelist spots! 🎉

You have 72 hours ⏳ https://t.co/PttRJpPP6l",143,74,225,0,{'media_keys': ['3_1509201451150622720']},"{'urls': [{'start': 266, 'end': 289, 'url': 'https://t.co/PttRJpPP6l', 'expanded_url': 'https://twitter.com/ailoverse/status/1509244778793390081/photo/1', 'display_url': 'pic.twitter.com/PttRJpPP6l'}], 'annotations': [{'start': 105, 'end': 124, 'probability': 0.4984, 'type': 'Product', 'normalized_text': 'Ailoverse Emoji Pack'}]}"
