,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1533178851492212736,2022-06-04 20:08:17+00:00,False,"AMA with @AtomoKidsPJB 🔥 Come hang! 🌈🌵🍄🔥

https://t.co/F76jnNNGWn",5,0,12,0,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/F76jnNNGWn', 'expanded_url': 'https://twitter.com/i/spaces/1zqKVBEARVWKB', 'display_url': 'twitter.com/i/spaces/1zqKV…'}], 'mentions': [{'start': 9, 'end': 22, 'username': 'AtomoKidsPJB', 'id': '1496909931441704962'}]}"
1,1532939182049374209,2022-06-04 04:15:56+00:00,True,"@PLAYPOPGO @amberpark Winners 🏆
• @fleurlany
• @jaimeob3
• @kevinxte
• @Atlehangpm
• @R69karma
• @stuala2003
• @Detlev_block
• @siajax
• @TinderMaster420
• @JoaEU_

✔️ https://t.co/q48jfz9MvI",1,6,17,0,,"{'urls': [{'start': 168, 'end': 191, 'url': 'https://t.co/q48jfz9MvI', 'expanded_url': 'https://twitterpicker.com/d/ccvggvha', 'display_url': 'twitterpicker.com/d/ccvggvha'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'PLAYPOPGO', 'id': '1527158613210324992'}, {'start': 11, 'end': 21, 'username': 'amberpark', 'id': '1353559297821564929'}, {'start': 34, 'end': 44, 'username': 'fleurlany', 'id': '262996720'}, {'start': 47, 'end': 56, 'username': 'jaimeob3', 'id': '333024673'}, {'start': 59, 'end': 68, 'username': 'kevinxte', 'id': '422635799'}, {'start': 71, 'end': 82, 'username': 'Atlehangpm', 'id': '1484066085859123200'}, {'start': 85, 'end': 94, 'username': 'R69karma', 'id': '766299191345815552'}, {'start': 97, 'end': 108, 'username': 'stuala2003', 'id': '956306723005804544'}, {'start': 111, 'end': 124, 'username': 'Detlev_block', 'id': '1509302989583880200'}, {'start': 127, 'end': 134, 'username': 'siajax', 'id': '1496592219314302976'}, {'start': 137, 'end': 153, 'username': 'TinderMaster420', 'id': '1531325158102814721'}, {'start': 156, 'end': 163, 'username': 'JoaEU_', 'id': '1157264783047045122'}]}"
2,1532464493040611328,2022-06-02 20:49:41+00:00,False,"🌈🌵 I Like You, You’re Weird 🤝 @PLAYPOPGO 🍄🔥

PPG is a kawaii streetwear &amp; novelty brand created by ILYYW cofounder, @amberpark 💭🤍🧩✨

•Follow @ILYYWNFT &amp; @PLAYPOPGO
•Like + Retweet this Tweet
•Tag 4 friends

10 winners. 10 PPG Hoodies. 24 hours. https://t.co/q6tnnShbRu",88,66,118,3,{'media_keys': ['3_1532464489127288832']},"{'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/q6tnnShbRu', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1532464493040611328/photo/1', 'display_url': 'pic.twitter.com/q6tnnShbRu', 'media_key': '3_1532464489127288832'}], 'mentions': [{'start': 30, 'end': 40, 'username': 'PLAYPOPGO', 'id': '1527158613210324992'}, {'start': 120, 'end': 130, 'username': 'amberpark', 'id': '1353559297821564929'}, {'start': 145, 'end': 154, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 161, 'end': 171, 'username': 'PLAYPOPGO', 'id': '1527158613210324992'}]}"
3,1532101035241615360,2022-06-01 20:45:26+00:00,False,"Starting in 15 mins! 🌈🌵🍄🔥 Lets talk community, updates and Weirdo Scouts!🫡  https://t.co/90Vp3Qv9CY",12,1,38,1,,"{'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/90Vp3Qv9CY', 'expanded_url': 'https://twitter.com/i/spaces/1vAxRkqjwaPKl', 'display_url': 'twitter.com/i/spaces/1vAxR…'}]}"
4,1531676716438999041,2022-05-31 16:39:21+00:00,False,"🌈🌵Weirdo Scouts, Assemble!

We are excited to announce a new initiative, Weirdo Scouts, that is focused on bettering the world through community building and service. 
 
It’s time for action! 
 
Visit https://t.co/I1a5JnDKkV for info on community building and Weirdo Scouts 🍄🔥 https://t.co/ESh2zi5oaA",28,1,81,1,"{'media_keys': ['3_1531676707530235906', '3_1531676707526017024', '3_1531676707714785280']}","{'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/I1a5JnDKkV', 'expanded_url': 'http://t.ly/0NRL', 'display_url': 't.ly/0NRL'}, {'start': 277, 'end': 300, 'url': 'https://t.co/ESh2zi5oaA', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1531676716438999041/photo/1', 'display_url': 'pic.twitter.com/ESh2zi5oaA', 'media_key': '3_1531676707530235906'}, {'start': 277, 'end': 300, 'url': 'https://t.co/ESh2zi5oaA', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1531676716438999041/photo/1', 'display_url': 'pic.twitter.com/ESh2zi5oaA', 'media_key': '3_1531676707526017024'}, {'start': 277, 'end': 300, 'url': 'https://t.co/ESh2zi5oaA', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1531676716438999041/photo/1', 'display_url': 'pic.twitter.com/ESh2zi5oaA', 'media_key': '3_1531676707714785280'}]}"
5,1531359589886636032,2022-05-30 19:39:12+00:00,False,5% of Weirdos listed. Community dif’ 🌈🌵🔥🍄,49,19,175,1,,
6,1531354367529349120,2022-05-30 19:18:27+00:00,False,Us. https://t.co/euEJo6elYR,8,2,61,1,,"{'urls': [{'start': 4, 'end': 27, 'url': 'https://t.co/euEJo6elYR', 'expanded_url': 'https://twitter.com/BedbugsNFT/status/1531353072915648512', 'display_url': 'twitter.com/BedbugsNFT/sta…'}]}"
7,1531329466793750528,2022-05-30 17:39:30+00:00,False,RT @GoldenArtGunner: @ILYYWNFT  is playing The Floor is Lava. 5% supply listed prior to nesting 👀 🔥 🚨,26,0,0,0,,"{'annotations': [{'start': 43, 'end': 59, 'probability': 0.2052, 'type': 'Other', 'normalized_text': 'The Floor is Lava'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'GoldenArtGunner', 'id': '1488753876094394369'}, {'start': 21, 'end': 30, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}]}"
8,1531329384413483008,2022-05-30 17:39:10+00:00,False,"RT @Matt_sdbio: The animation is 🔥..the vibes 😜 🔥.   So much coming on @ILYYWNFT — nesting, scaries, pets, animation!  FP makes it easy to…",14,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'Matt_sdbio', 'id': '1363572366429749250'}, {'start': 71, 'end': 80, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}]}"
9,1531313487346954241,2022-05-30 16:36:00+00:00,False,"🌵🌞Things are heating up in the Weirdo universe. Alarmingly hot. Seriously, send help. 🍄🔥 https://t.co/3CbfG900Gd",80,18,217,9,{'media_keys': ['7_1531313431390740482']},"{'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/3CbfG900Gd', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1531313487346954241/video/1', 'display_url': 'pic.twitter.com/3CbfG900Gd', 'media_key': '7_1531313431390740482'}]}"
10,1531006318525394945,2022-05-29 20:15:25+00:00,True,"@YDGHNFT Winners 🏆
• @AyanKha41513154
• @ShrapnelNFT
• @_MetaMu_

Congrats please check your DM :)
✔️ https://t.co/tJkgpmXMiS",2,5,17,1,,"{'urls': [{'start': 102, 'end': 125, 'url': 'https://t.co/tJkgpmXMiS', 'expanded_url': 'https://twitterpicker.com/d/ay7f27n6', 'display_url': 'twitterpicker.com/d/ay7f27n6'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'YDGHNFT', 'id': '1514573604175945734'}, {'start': 21, 'end': 37, 'username': 'AyanKha41513154', 'id': '1188770093678772225'}, {'start': 40, 'end': 52, 'username': 'ShrapnelNFT', 'id': '1366046593217085450'}, {'start': 55, 'end': 64, 'username': '_MetaMu_', 'id': '1477479860830289922'}]}"
11,1530644602394251264,2022-05-28 20:18:05+00:00,False,"🌈🌵 I Like You, You’re Weird 🤝 @YDGHNFT 🔥🍄
 
• Follow @ILYYWNFT and @YDGHNFT 
• Like and Retweet
• Tag three frens

Three winners. Twenty-four hours. https://t.co/6KZK6RlAfn",133,128,163,4,{'media_keys': ['16_1530644183798513664']},"{'urls': [{'start': 149, 'end': 172, 'url': 'https://t.co/6KZK6RlAfn', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1530644602394251264/photo/1', 'display_url': 'pic.twitter.com/6KZK6RlAfn', 'media_key': '16_1530644183798513664'}], 'mentions': [{'start': 30, 'end': 38, 'username': 'YDGHNFT', 'id': '1514573604175945734'}, {'start': 53, 'end': 62, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 67, 'end': 75, 'username': 'YDGHNFT', 'id': '1514573604175945734'}]}"
12,1530367914112524289,2022-05-28 01:58:38+00:00,True,"@DayForItNFT Winners 🏆
• @CoolNameLiving
• @NFTkabritu
• @FollowFaiyaz
• @Fadijrock
• @0xKat_

Please check your DM :) Will need your wallet and discord ID
✔️ https://t.co/GQyfLC3uN6",0,1,18,0,,"{'urls': [{'start': 159, 'end': 182, 'url': 'https://t.co/GQyfLC3uN6', 'expanded_url': 'https://twitterpicker.com/d/2ut4e4y4', 'display_url': 'twitterpicker.com/d/2ut4e4y4'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'DayForItNFT', 'id': '1479769822137176065'}, {'start': 25, 'end': 40, 'username': 'CoolNameLiving', 'id': '1430080436215062528'}, {'start': 43, 'end': 54, 'username': 'NFTkabritu', 'id': '1471573827356397576'}, {'start': 57, 'end': 70, 'username': 'FollowFaiyaz', 'id': '1026451355169304577'}, {'start': 73, 'end': 83, 'username': 'Fadijrock', 'id': '1438661360846467072'}, {'start': 86, 'end': 93, 'username': '0xKat_', 'id': '1376433016109723649'}]}"
13,1530238487512748032,2022-05-27 17:24:20+00:00,False,RT @spenduehh: ✍️: @GoldenArtGunner @ILYYWNFT https://t.co/Uj2YrARPFk,18,0,0,0,{'media_keys': ['3_1530234349383127040']},"{'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/Uj2YrARPFk', 'expanded_url': 'https://twitter.com/spenduehh/status/1530234356358254592/photo/1', 'display_url': 'pic.twitter.com/Uj2YrARPFk', 'media_key': '3_1530234349383127040'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'spenduehh', 'id': '1467751789021728769'}, {'start': 19, 'end': 35, 'username': 'GoldenArtGunner', 'id': '1488753876094394369'}, {'start': 36, 'end': 45, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}]}"
14,1530229116561022976,2022-05-27 16:47:06+00:00,False,Thank you @gmoneyNFT 🌈🌵🔥🍄 https://t.co/1jNbdE7DGG,24,4,65,2,,"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/1jNbdE7DGG', 'expanded_url': 'https://twitter.com/haiiroeth/status/1530221669708619778', 'display_url': 'twitter.com/haiiroeth/stat…'}], 'mentions': [{'start': 10, 'end': 20, 'username': 'gmoneyNFT', 'id': '1311393885806100481'}]}"
15,1530225011356835841,2022-05-27 16:30:47+00:00,False,RT @HaiiroEth: @gmoneyNFT shoutouts @ILYYWNFT and @MasonRothschild on the latest video from The NFT Collectooors (by @Delphi_Digital ) on Y…,23,0,0,0,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'HaiiroEth', 'id': '1185596939192147971'}, {'start': 15, 'end': 25, 'username': 'gmoneyNFT', 'id': '1311393885806100481'}, {'start': 36, 'end': 45, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 50, 'end': 66, 'username': 'MasonRothschild', 'id': '30838958'}, {'start': 117, 'end': 132, 'username': 'Delphi_Digital', 'id': '1037045241084342272'}]}"
16,1530005836004675585,2022-05-27 01:59:52+00:00,False,"🌈🌵I Like You, You’re Weird 🤝 @DayForItNFT 🔥🍄
 
• Follow @ILYYWNFT and @DayForItNFT 
• Like and Retweet
• Tag three frens

Five winners. Twenty four hours. https://t.co/nAfnpJ5xnb",226,199,294,2,{'media_keys': ['3_1530005831093063681']},"{'urls': [{'start': 155, 'end': 178, 'url': 'https://t.co/nAfnpJ5xnb', 'expanded_url': 'https://twitter.com/ILYYWNFT/status/1530005836004675585/photo/1', 'display_url': 'pic.twitter.com/nAfnpJ5xnb', 'media_key': '3_1530005831093063681'}], 'mentions': [{'start': 29, 'end': 41, 'username': 'DayForItNFT', 'id': '1479769822137176065'}, {'start': 56, 'end': 65, 'username': 'ILYYWNFT', 'id': '1475726345149714436'}, {'start': 70, 'end': 82, 'username': 'DayForItNFT', 'id': '1479769822137176065'}]}"
17,1529946476612268032,2022-05-26 22:03:59+00:00,False,Pain. https://t.co/39rGb27cy4,5,5,47,0,,"{'urls': [{'start': 6, 'end': 29, 'url': 'https://t.co/39rGb27cy4', 'expanded_url': 'https://twitter.com/kmoney_69/status/1529945290597249025', 'display_url': 'twitter.com/kmoney_69/stat…'}]}"
