,id,date,this_is_reply,text,retweets,replies,likes,quotes,attachments,entities
0,1508495630364119043,2022-03-28 17:25:59+00:00,False,"Hey guys, who should we chat with about mental health? Tag someone you know who would be interested in chatting!",7,12,29,0,,
1,1507837204655091720,2022-03-26 21:49:38+00:00,True,"We've got some winners :)
@lluckyshot27 and @AlineTweets Please DM me your wallet address 🔥🔥 https://t.co/cWn4GqtW5b",0,1,5,0,{'media_keys': ['3_1507837108009897984']},"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/cWn4GqtW5b', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1507837204655091720/photo/1', 'display_url': 'pic.twitter.com/cWn4GqtW5b'}], 'mentions': [{'start': 26, 'end': 39, 'username': 'lluckyshot27', 'id': '1443969282224889856'}, {'start': 44, 'end': 56, 'username': 'AlineTweets', 'id': '248726781'}]}"
2,1506819156980781057,2022-03-24 02:24:17+00:00,True,"@offsup_rene @SkylinezNFT the giveaways is for ruggies, not skylines. Re-read the tweet",0,0,6,0,,"{'mentions': [{'start': 0, 'end': 12, 'username': 'offsup_rene', 'id': '4021519094'}, {'start': 13, 'end': 25, 'username': 'SkylinezNFT', 'id': '1499473828145086475'}]}"
3,1506817261264261124,2022-03-24 02:16:45+00:00,False,"⏰2x Ruggiest NFT Giveaway⏰

OKAY LOOKS LIKE SKYLINEZ WAS A RUG. Let's give away 2 Ruggies instead of 2 WL spots to this project.

❗️To Win:
🔷UNFOLLOW Skylinez: @SkylinezNFT 
🔷Follow Ruggies: @RuggiesOfficial 
🔄 Reweet this
👥 Tag 2 friends and tell them Skylinez is a rug https://t.co/ssWqi6B0tm",287,296,284,12,,"{'urls': [{'start': 271, 'end': 294, 'url': 'https://t.co/ssWqi6B0tm', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1506706907901227010', 'display_url': 'twitter.com/RuggiesOfficia…'}], 'mentions': [{'start': 160, 'end': 172, 'username': 'SkylinezNFT', 'id': '1499473828145086475'}, {'start': 191, 'end': 207, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}]}"
4,1506706907901227010,2022-03-23 18:58:14+00:00,False,"⏰⏰2x Skylinez WL Giveaway⏰⏰

Skylinez is a P2E cooperative Tower Builder game (2D immersive, skill/strategy based game)

❗️To Win:
🔷Follow Skylinez: @SkylinezNFT 
🔷Follow Ruggies: @RuggiesOfficial 
🔄 Reweet this tweet
👥 Tag 2 friends

🔥🔥 Good Luck 🔥🔥 https://t.co/q9QKTeMDqs",613,491,492,6,{'media_keys': ['16_1506706869380739072']},"{'urls': [{'start': 251, 'end': 274, 'url': 'https://t.co/q9QKTeMDqs', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1506706907901227010/photo/1', 'display_url': 'pic.twitter.com/q9QKTeMDqs'}], 'mentions': [{'start': 149, 'end': 161, 'username': 'SkylinezNFT', 'id': '1499473828145086475'}, {'start': 180, 'end': 196, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}]}"
5,1506353349863505923,2022-03-22 19:33:19+00:00,True,@steven_schill Welcome to the club fren &lt;3. There have actually been a few Ruggies songs. I’ll see if I can dig them up :p. I’d love to do an animated ruggies music video in the future that would be DOPE,0,0,0,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'steven_schill', 'id': '732048576'}]}"
6,1505624534426087426,2022-03-20 19:17:16+00:00,True,"@hodlholding0 Get a Ruggie, join the discord. ezpz :P",0,0,0,0,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'hodlholding0', 'id': '1380159367824224256'}]}"
7,1505415583315099648,2022-03-20 05:26:58+00:00,True,@AlinTwice ikr!,0,0,1,0,,"{'mentions': [{'start': 0, 'end': 10, 'username': 'AlinTwice', 'id': '1501392350844620810'}]}"
8,1505378749369315328,2022-03-20 03:00:37+00:00,False,RT @BabaBrouk: Where are my Ruggie holders at? Really cool how they support mental health. https://t.co/E1QbQYgVSr,59,0,0,0,{'media_keys': ['3_1505378286540521474']},"{'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/E1QbQYgVSr', 'expanded_url': 'https://twitter.com/BabaBrouk/status/1505378433630552066/photo/1', 'display_url': 'pic.twitter.com/E1QbQYgVSr'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'BabaBrouk', 'id': '214197136'}]}"
9,1505310124738445312,2022-03-19 22:27:55+00:00,True,@GuyN1ce ahahah,0,0,2,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'GuyN1ce', 'id': '1053239812281565184'}]}"
10,1505305993843859457,2022-03-19 22:11:30+00:00,False,"Happy Saturday guys ❤️ (Sunday for some people in the world). We're continuing to perfect our roadmap in the background which includes some animated Ruggie shorts.👀👀For now, enjoy this video ;) https://t.co/9FHmQFzUXR",45,17,113,4,{'media_keys': ['7_1505305930971312130']},"{'urls': [{'start': 194, 'end': 217, 'url': 'https://t.co/9FHmQFzUXR', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1505305993843859457/video/1', 'display_url': 'pic.twitter.com/9FHmQFzUXR'}]}"
11,1505062109746401280,2022-03-19 06:02:24+00:00,True,"@409ZEIT SER. THIS VAULT IS LOCKED DOWN AND SECURED
🔒🔒🔒
AINT NO ONE COMING IN TO TAKE THESE PRICELESS NFTS",2,0,7,0,,"{'mentions': [{'start': 0, 'end': 8, 'username': '409ZEIT', 'id': '1478438506070478852'}]}"
12,1505061432865398785,2022-03-19 05:59:42+00:00,True,"@GillanEmerson I laughed out loud at this 😂
You might be right, but we treat our Ruggie holders right &lt;3. Giving away more eth than the Ruggies are even worth right now",1,0,7,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'GillanEmerson', 'id': '1458240031055925248'}]}"
13,1505060412638711808,2022-03-19 05:55:39+00:00,False,"Introducing our first acquisitions for the RuggiesVault. This was our first buyback! 🔥🔥🔥

We managed to snag these 5 beauties for 0.05ETH/ea (0.25ETH)

Total value for all is ~0.009ETH. By owning a Ruggie, you will have a chance to sell us your rugged NFTs ❤️ https://t.co/M7SliIS8As",39,16,92,9,{'media_keys': ['3_1505059126002429955']},"{'urls': [{'start': 260, 'end': 283, 'url': 'https://t.co/M7SliIS8As', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1505060412638711808/photo/1', 'display_url': 'pic.twitter.com/M7SliIS8As'}]}"
14,1504654865011671047,2022-03-18 03:04:09+00:00,False,"RT @HomieFacesNFT: 🏠HomieFaces X Ruggies🌈

We are happy to announce that we have teamed up with @RuggiesOfficial to giveaway 5 WL spots to…",405,0,0,0,,"{'mentions': [{'start': 3, 'end': 17, 'username': 'HomieFacesNFT', 'id': '1487073648217247750'}, {'start': 96, 'end': 112, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}]}"
15,1504619943270133778,2022-03-18 00:45:23+00:00,True,"@petelovesnfts Originally 4,444",0,0,0,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'petelovesnfts', 'id': '1483492181440618496'}]}"
16,1504519239243206656,2022-03-17 18:05:13+00:00,False,"RT @CryptoKrakensCB: Hey Krakens! 𝗧𝗼𝗱𝗮𝘆 𝗮𝘁 𝟱 𝗣𝗠 𝗘𝗦𝗧 we are going to be having our SECOND #GreenChipNFT Twitter Spaces w/ @CycloTurtles!

We…",24,0,0,0,,"{'hashtags': [{'start': 89, 'end': 102, 'tag': 'GreenChipNFT'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'CryptoKrakensCB', 'id': '1449412805002735624'}, {'start': 121, 'end': 134, 'username': 'CycloTurtles', 'id': '1457259917094445057'}]}"
17,1504317238127390720,2022-03-17 04:42:33+00:00,True,@DougieFreshNFT @xrp_king @DoodledPenguins Sick penguins. We do giveaways in the Ruggies project to buy back rugged NFTs. Consider joining us ;) We'd love to buy some penguins,0,0,1,0,,"{'annotations': [{'start': 81, 'end': 87, 'probability': 0.3037, 'type': 'Organization', 'normalized_text': 'Ruggies'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'DougieFreshNFT', 'id': '1466419389486419968'}, {'start': 16, 'end': 25, 'username': 'xrp_king', 'id': '1130811596744351744'}, {'start': 26, 'end': 42, 'username': 'DoodledPenguins', 'id': '1478838432663232513'}]}"
18,1504314999937724418,2022-03-17 04:33:39+00:00,True,"@petelovesnfts we're still here, and still building :) I suggest you poke around and research a bit before calling projects rugs. The only rug in this project is the art ;)",0,0,9,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'petelovesnfts', 'id': '1483492181440618496'}]}"
19,1504314845088210947,2022-03-17 04:33:02+00:00,True,"@petelovesnfts We were a 0.085 mint but we only sold 1,111 of the collection. We airdropped a free Ruggie (manually) to everyone that held one, effectively lowering their cost basis to 0.0425ETH. Then we capped the collection. The floor is currently below the adjusted mint price, but",0,2,13,0,,"{'mentions': [{'start': 0, 'end': 14, 'username': 'petelovesnfts', 'id': '1483492181440618496'}]}"
20,1504190858240819200,2022-03-16 20:20:21+00:00,True,@roopsNFT @mrmakerbot Ser. There is no excuse to not own one when they’re 0.03 eth. The winners of tomorrow’s giveaway get more ETH than that 🙄,0,1,1,0,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'roopsNFT', 'id': '1479742926062329859'}, {'start': 10, 'end': 21, 'username': 'mrmakerbot', 'id': '1420821493202706433'}]}"
21,1503991909475237891,2022-03-16 07:09:48+00:00,True,Please DM me on my main twitter @0xBiased,0,0,3,0,,"{'annotations': [{'start': 24, 'end': 30, 'probability': 0.611, 'type': 'Product', 'normalized_text': 'twitter'}], 'mentions': [{'start': 32, 'end': 41, 'username': '0xBiased', 'id': '1433929462266007559'}]}"
22,1503991805003526149,2022-03-16 07:09:23+00:00,True,"Congrats to @El_KFlo !
https://t.co/9bI1EGWmES https://t.co/w1K9LcwuOe",2,4,6,0,{'media_keys': ['3_1503991702297579520']},"{'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/9bI1EGWmES', 'expanded_url': 'https://twitterpicker.com/d/mv5arb4d', 'display_url': 'twitterpicker.com/d/mv5arb4d', 'status': 404, 'unwound_url': 'https://twitterpicker.com/d/mv5arb4d'}, {'start': 47, 'end': 70, 'url': 'https://t.co/w1K9LcwuOe', 'expanded_url': 'https://twitter.com/RuggiesOfficial/status/1503991805003526149/photo/1', 'display_url': 'pic.twitter.com/w1K9LcwuOe'}], 'mentions': [{'start': 12, 'end': 20, 'username': 'El_KFlo', 'id': '1493073158777225216'}]}"
23,1503937621696806915,2022-03-16 03:34:05+00:00,False,"RT @BaoSociety: 🔥 @RuggiesOfficial x @BaoSociety 🔥

Giving away:
x3 WL spots to @BaoSociety

To Enter: 
❤️ Like &amp; Follow @RuggiesOfficial &amp;…",359,0,0,0,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'BaoSociety', 'id': '1480242454028713984'}, {'start': 18, 'end': 34, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}, {'start': 37, 'end': 48, 'username': 'BaoSociety', 'id': '1480242454028713984'}, {'start': 80, 'end': 91, 'username': 'BaoSociety', 'id': '1480242454028713984'}, {'start': 125, 'end': 141, 'username': 'RuggiesOfficial', 'id': '1486887097164173312'}]}"
